id,symptom,symptom_text,solution
1,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
2,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
3,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
4,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
5,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
6,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
7,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
8,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
9,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
10,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
11,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
12,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
13,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
14,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
15,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
16,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
17,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
18,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
19,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
20,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
21,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
22,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
23,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
24,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
25,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
26,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
27,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
28,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
29,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
30,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
31,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
32,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
33,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
34,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
35,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
36,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
37,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
38,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
39,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
40,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
41,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
42,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
43,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
44,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
45,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
46,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
47,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
48,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
49,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
50,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
51,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
52,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
53,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
54,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
55,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
56,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
57,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
58,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
59,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
60,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
61,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
62,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
63,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
64,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
65,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
66,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
67,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
68,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
69,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
70,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
71,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
72,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
73,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
74,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
75,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
76,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
77,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
78,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
79,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
80,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
81,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
82,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
83,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
84,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
85,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
86,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
87,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
88,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
89,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
90,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
91,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
92,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
93,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
94,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
95,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
96,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
97,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
98,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
99,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
100,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
101,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
102,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
103,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
104,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
105,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
106,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
107,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
108,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
109,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
110,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
111,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
112,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
113,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
114,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
115,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
116,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
117,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
118,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
119,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
120,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
121,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
122,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
123,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
124,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
125,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
126,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
127,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
128,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
129,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
130,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
131,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
132,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
133,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
134,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
135,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
136,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
137,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
138,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
139,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
140,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
141,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
142,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
143,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
144,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
145,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
146,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
147,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
148,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
149,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
150,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
151,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
152,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
153,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
154,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
155,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
156,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
157,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
158,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
159,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
160,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
161,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
162,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
163,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
164,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
165,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
166,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
167,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
168,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
169,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
170,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
171,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
172,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
173,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
174,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
175,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
176,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
177,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
178,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
179,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
180,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
181,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
182,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
183,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
184,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
185,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
186,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
187,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
188,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
189,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
190,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
191,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
192,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
193,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
194,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
195,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
196,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
197,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
198,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
199,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
200,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
201,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
202,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
203,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
204,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
205,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
206,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
207,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
208,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
209,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
210,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
211,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
212,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
213,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
214,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
215,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
216,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
217,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
218,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
219,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
220,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
221,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
222,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
223,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
224,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
225,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
226,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
227,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
228,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
229,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
230,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
231,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
232,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
233,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
234,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
235,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
236,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
237,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
238,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
239,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
240,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
241,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
242,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
243,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
244,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
245,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
246,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
247,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
248,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
249,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
250,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
